"reactor.ID","IPL.num","User","Type.1","Type.2","sample.ID","group.num","rep.num","Date.Time","Data.File","IPL.ID","Name.full","flag.major","flag.analysis","primes","comments","version","d17O","d.17O","d17O.err","d18O","d.18O","d18O.err","CAP.17O","CAP17O.err","d33","d33.err","d34","d34.err","d35","d35.err","d36","d36.err","33.mismatch.R2","34.mismatch.R2","d.18O.prelim"
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1673-1768",1673,,"O2Ref","O2 zero","O2 zero",1,1,"2014-08-14 00:00:00",,"JHU-17O-1673",,,1,,"session.name, Aug_2014, session.numeric, 2014_08, Reduction.ID, NA, CDW.num, NA, sample.descrip, zero enrich 1, replicate.set, NA, project, NA, flag_normalize, 1, flag notes, NA, comments, NA, O2.yield, -, O2.resid, -, comments, NA",,,,,,,,,,0.0523,0.088899935605852,0.0154571428571429,0.0386435534546512,,,,,0.00916195612873615,0.0154571428571429,0.0154571428571429
"1673-1768",1674,,"O2Ref","O2 zero","O2 zero",1,2,"2014-08-14 00:00:00",,"JHU-17O-1674",,,1,,"session.name, Aug_2014, session.numeric, 2014_08, Reduction.ID, NA, CDW.num, NA, sample.descrip, zero enrich 2, replicate.set, NA, project, NA, flag_normalize, 1, flag notes, NA, comments, 60 cycles, O2.yield, -, O2.resid, -, comments, 60 cycles",,,,,,,,,,0.0297,0.0457066178496532,0.0251833333333333,0.041731787529358,,,,,0.022822988367734,0.0329596184007425,0.0251833333333333
"1673-1768",1675,,"WaterStd","USGS48","USGS48",1,1,"2014-08-15 00:00:00",,"JHU-17O-1675",,,1,,"session.name, Aug_2014, session.numeric, 2014_08, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS-48-012113, replicate.set, NA, project, NA, flag_normalize, 1, flag notes, NA, comments, 50 cycles, ""Impossible to adjust the pressure. So, only 50 acquisitions."", O2.yield, 390, O2.resid, 67, comments, 50 cycles, ""Impossible to adjust the pressure. So, only 50 acquisitions.""",,,,,,,,,,-19.10074,0.0912645425929143,-36.8379,0.0090356437038458,,,,,-19.1733904324613,-36.8379,-36.8379
"1673-1768",1676,,"WaterStd","USGS48","USGS48",1,2,"2014-08-15 00:00:00",,"JHU-17O-1676",,,1,,"session.name, Aug_2014, session.numeric, 2014_08, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS-48-012113, replicate.set, NA, project, NA, flag_normalize, 1, flag notes, NA, comments, NA, O2.yield, 389, O2.resid, 72, comments, NA",,,,,,,,,,-19.0589428571429,0.0434330688528834,-36.4775714285714,0.0102992492037755,,,,,-19.0373331606184,-36.4775714285714,-36.4775714285714
"1673-1768",1676.5,,,,,0,,"1/00/1900 0:00",,"***Calibrated the bellows***",,,,,"session.name, Aug_2014, session.numeric, 2014_08, Reduction.ID, NA, CDW.num, NA, sample.descrip, NA, replicate.set, NA, project, NA, flag_normalize, NA, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,,,,,,,,,,,
"1673-1768",1677,,"WaterStd","USGS48","USGS48",1,3,"2014-08-15 00:00:00",,"JHU-17O-1677",,,1,,"session.name, Aug_2014, session.numeric, 2014_08, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS-48-012113, replicate.set, NA, project, NA, flag_normalize, 1, flag notes, NA, comments, NA, O2.yield, 337, O2.resid, 51, comments, NA",,,,,,,,,,-19.1682857142857,0.0400945053364927,-36.6742285714286,0.010522813626842,,,,,-19.1549445315656,-36.6742285714286,-36.6742285714286
"1673-1768",1678,,"WaterStd","SMOW","SMOW",1,1,"2014-08-15 00:00:00",,"JHU-17O-1678",,,1,,"session.name, Aug_2014, session.numeric, 2014_08, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW-2-052013-2a, replicate.set, NA, project, NA, flag_normalize, 1, flag notes, NA, comments, NA, O2.yield, 307, O2.resid, 72, comments, NA",,,,,,,,,,-17.9536857142857,0.0468830004904728,-34.3467857142857,0.0105086477254985,,,,,-17.9357543890345,-34.3467857142857,-34.3467857142857
"1673-1768",1679,,"WaterStd","SMOW","SMOW",1,2,"2014-08-15 00:00:00",,"JHU-17O-1679",,,0,,"session.name, Aug_2014, session.numeric, 2014_08, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW-2-052013-2a, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 401, O2.resid, 60, comments, NA",,,,,,,,,,-17.9904714285714,0.0407123958008203,-34.3554571428571,0.0112426281344978,,,,,-17.9697302885242,-34.3554571428571,-34.3554571428571
"1673-1768",1680,,"WaterStd","SMOW","SMOW",1,3,"2014-08-16 00:00:00",,"JHU-17O-1680",,,1,,"session.name, Aug_2014, session.numeric, 2014_08, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW-2-052013-2a, replicate.set, NA, project, NA, flag_normalize, 1, flag notes, NA, comments, SL: GC was not purged last night. Potentially there is some contaminants, although not seen in mass scan., O2.yield, 435, O2.resid, 89, comments, SL: GC was not purged last night. Potentially there is some contaminants, although not seen in mass scan.",,,,,,,,,,-17.9045571428571,0.0376923610122126,-34.4174571428572,0.0143927172750318,,,,,-17.8978874420441,-34.4174571428572,-34.4174571428572
"1673-1768",1681,,"WaterStd","SMOW","SMOW",1,4,"2014-08-16 00:00:00",,"JHU-17O-1681",,,0,,"session.name, Aug_2014, session.numeric, 2014_08, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW-2-052013-2a, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 377, O2.resid, 99, comments, NA",,,,,,,,,,-17.8233714285714,0.0387609438229457,-34.0604428571429,0.00888515406354423,,,,,-17.8148619996011,-34.0604428571429,-34.0604428571429
