"reactor.ID","IPL.num","User","Type.1","Type.2","sample.ID","group.num","rep.num","Date.Time","Data.File","IPL.ID","Name.full","flag.major","flag.analysis","primes","comments","version","d17O","d.17O","d17O.err","d18O","d.18O","d18O.err","CAP.17O","CAP17O.err","d33","d33.err","d34","d34.err","d35","d35.err","d36","d36.err","X33.mismatch.R2","X34.mismatch.R2","d.18O.prelim","test.d.18O.prelim","flag.d18O","flag","reactor.segment","d33.smow_ref","d34.smow_ref","d17O.slap","d18O.slap","dp17O.final","dp18O.final","D17O.final","D17O.per.meg"
"1104-1208",1105,NA,"WaterStd","USGS45","USGS45",1,2,"2013-06-22 00:00:00",NA,"JHU-17O-1105",NA,NA,0,0,"session.name, June_2013_2, session.numeric, 2013_06_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS45-012113, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 328, O2.resid, 39, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.0757826086957,0.0262195871805442,-36.4204057971015,0.0114869732364404,NA,NA,NA,NA,-19.0722031344177,-36.4183307072592,-36.4204057971015,0.176753623188397,0,0,1,-1.16400014607676,-2.24202603213774,-1.19684518967025,-2.30300578925044,-1.19756198085671,-2.30566178571686,0.0198274420017897,19.8274420017897
"1104-1208",1106,NA,"WaterStd","SMOW","SMOW",1,1,"2013-06-22 00:00:00",NA,"JHU-17O-1106",NA,NA,0,0,"session.name, June_2013_2, session.numeric, 2013_06_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-4, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 349, O2.resid, 60, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.9424492753623,0.0289870844626299,-34.2707246376811,0.0122220678643794,NA,NA,NA,NA,-17.9363233250736,-34.2687258024709,-34.2707246376811,2.1496811594204,0,0,1,-0.00997202331476377,-0.0160952100197731,-0.0102534077644073,-0.0165329756761994,-0.0102534603309381,-0.0165331123473133,-0.00152397701155674,-1.52397701155674
"1104-1208",1107,NA,"WaterStd","SMOW","SMOW",1,2,"2013-06-23 00:00:00",NA,"JHU-17O-1107",NA,NA,0,0,"session.name, June_2013_2, session.numeric, 2013_06_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-4, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 217, O2.resid, 64, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.8734782608696,0.030690872707031,-34.1572753623188,0.0115311395003104,NA,NA,NA,NA,-17.8734782608696,-34.1572753623188,-34.1572753623188,0.113449275362299,0,0,1,0.0711722518111912,0.121785770498262,0.073180546845573,0.125098161433208,0.0731778692798752,0.125090337310653,0.00713017117985029,7.13017117985029
"1104-1208",1128,NA,"WaterStd","SLAP","SLAP",1,2,"2013-06-26 00:00:00",NA,"JHU-17O-1128",NA,NA,0,0,"session.name, June_2013_2, session.numeric, 2013_06_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, SLAP-2-51613-5, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 321.60000000000002, O2.resid, 83, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-46.3245942028986,0.0270708867064952,-86.4469275362319,0.0130905431071654,NA,NA,NA,NA,-46.3184285890221,-86.4440985437194,-86.4469275362319,0.526130434782601,0,0,1,-28.8679858815518,-53.9657836028533,-29.6825650359718,-55.4335722588845,-30.1320084799064,-57.0292633955158,-0.0205574070740155,-20.5574070740155
"1104-1208",1139,NA,"CO2Std","Tank#2 CO2","Tank#2 CO2",1,1,"2013-06-28 00:00:00",NA,"JHU-17O-1139",NA,NA,0,0,"session.name, June_2013_2, session.numeric, 2013_06_2, Reduction.ID, JHU-CDW-260, CDW.num, 260, sample.descrip, Tank #2 CO2 1ml, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 177, O2.resid, 65, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.72021739130435,0.0319852307669067,-5.4402463768116,0.0151826195107717,NA,NA,NA,NA,-2.72477418659446,-5.44282898530371,-5.4402463768116,1.36010144927537,0,0,1,15.5567164870063,29.9631057508907,15.9956863899823,30.7780574440649,15.8691034681258,30.3139126506684,-0.136642411427108,-136.642411427108
"1104-1208",1142,NA,"CO2Std","Tank#2 CO2","Tank#2 CO2",2,2,"2013-06-30 00:00:00",NA,"JHU-17O-1142",NA,NA,0,0,"session.name, June_2013_2, session.numeric, 2013_06_2, Reduction.ID, JHU-CDW-264, CDW.num, 264, sample.descrip, Tank #2 CO2 1.5ml, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 258.7, O2.resid, 64, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.67378260869565,0.0375561812744341,-7.27923188405797,0.0121390775494296,NA,NA,NA,NA,-3.67378260869565,-7.27923188405797,-7.27923188405797,1.83898550724637,0,0,1,14.6078218970631,28.1006200916445,15.0200164733543,28.8649149585827,14.9083329627042,28.4561702542069,-0.116524931517104,-116.524931517104
"1104-1208",1143,NA,"CO2Std","Tank#2 CO2","Tank#2 CO2",2,3,"2013-06-30 00:00:00",NA,"JHU-17O-1143",NA,NA,0,0,"session.name, June_2013_2, session.numeric, 2013_06_2, Reduction.ID, JHU-CDW-265, CDW.num, 265, sample.descrip, Tank #2 CO2 2ml, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 339, O2.resid, 58, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.98533333333333,0.0248694631240489,-5.94992753623189,0.00925189780305784,NA,NA,NA,NA,-2.98533333333333,-5.94992753623189,-5.94992753623189,1.32930434782608,0,0,1,15.3089035383662,29.4772998873982,15.7408808072531,30.2790383871773,15.6182780528838,29.8296766072827,-0.131791195761494,-131.791195761494
"1104-1208",1144,NA,"CO2Std","Tank#2 CO2","Tank#2 CO2",2,5,"2013-06-30 00:00:00",NA,"JHU-17O-1144",NA,NA,0,0,"session.name, June_2013_2, session.numeric, 2013_06_2, Reduction.ID, JHU-CDW-266, CDW.num, 266, sample.descrip, Tank #2 CO2 2.5ml, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 430.6, O2.resid, 89, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.69223188405797,0.0240068280284247,-5.41479710144927,0.0117518205224764,NA,NA,NA,NA,-2.69223188405797,-5.41479710144927,-5.41479710144927,0.535130434782619,0,0,1,15.6073831104715,30.0315019848059,16.0477826932134,30.8483139533167,15.9203782602603,30.3820690443327,-0.121354195147367,-121.354195147367
"1104-1208",1146,NA,"CO2Std","Tank#2 CO2","Tank#2 CO2",2,6,"2013-07-01 00:00:00",NA,"JHU-17O-1146",NA,NA,0,0,"session.name, June_2013_2, session.numeric, 2013_06_2, Reduction.ID, Tank #2 CO2 1.0ml, CDW.num, NA, sample.descrip, Tank #2 CO2 1ml, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 90, O2.resid, 0, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.84639130434783,0.0344299020993057,-7.57236231884058,0.014565239658468,NA,NA,NA,NA,-3.83975074878799,-7.56931195051959,-7.57236231884058,2.15756521739131,0,0,1,14.4431176529281,27.8180189040513,14.85066470568,28.5746274410664,14.7414733005222,28.1739869740083,-0.134391821754209,-134.391821754209
"1104-1208",1157,NA,"WaterStd","SMOW","SMOW",2,4,"2013-07-03 00:00:00",NA,"JHU-17O-1157",NA,NA,0,0,"session.name, June_2013_2, session.numeric, 2013_06_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-4, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, leak at injection port, O2.yield, 321.3, O2.resid, 67, comments, leak at injection port",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.0496086956522,0.0255344158707793,-34.4688550724638,0.0123815272296588,NA,NA,NA,NA,-18.0458493352176,-34.4663171169326,-34.4688550724638,0.056579710144895,0,0,1,0.000955651525247347,0.00320398766073815,0.000982617514996344,0.00329113133638834,0.000982617032142526,0.00329112592058621,-0.000755097453926993,-0.755097453926993
