"Type.1","Type.2","sample.ID","n","avg.dp17O","avg.dp18O","avg.D17O","sd.dp17O","sd.dp18O","sd.D17O"
"WaterStd","USGS46","USGS46","2","-16.1352685119636","-30.6042018005583","23.750038731186","0.347027778306179","0.640796452471315","8.68725140125889"
"WaterStd","USGS47","USGS47","6","-10.7798456804883","-20.4963667315971","42.235953795062","0.421481587078926","0.798204198032989","3.30986994571657"
"WaterStd","USGS45","USGS45","37","-1.66491118692621","-3.18599500060227","17.2941733917829","2.22556757189994","4.22855580216882","14.9078227106448"
"WaterStd","SMOW","SMOW","160","-4.82400872052582e-05","-0.000175811483530235","0.0445883760985999","0.311590006743334","0.594848309118828","9.09767104782726"
"WaterStd","USGS48","USGS48","7","-1.02851879359068","-1.98736459493293","20.809712533911","0.308738595723384","0.592171494593857","24.6854301990302"
"Water","precipitaiton","NQ7917 TX03","1","-0.0274826664523526","-0.0435340364662519","-4.49669519817161",NA,NA,NA
"Water","precipitaiton","OK17 7/19/97","1","0.350734036528853","0.666259847381264","-1.05116288845464",NA,NA,NA
"Water","precipitaiton","KS31 8/26/97","1","0.459895220322361","0.878518211580231","-3.96239539200127",NA,NA,NA
"Water","precipitaiton","SD99 8/26/97","1","-0.407894256121398","-0.767772789091019","-2.51022348134006",NA,NA,NA
"Water","precipitaiton","WY06 8/26/97","1","-2.95676040066795","-5.60727325141729","3.8798760803842",NA,NA,NA
"Water","precipitaiton","WY95 8/26/97","3","-3.16142246594254","-6.00597506910515","9.73237054498381","0.720930987231848","1.37621227024606","8.74504240218786"
"Water","surface","Mpala surface","5","0.923437478999067","1.74464922299044","2.26268926011354","1.73153105723108","3.30875093288823","18.0145310989758"
"WaterStd","SLAP","SLAP","120","-30.1486810120327","-57.0999499073827","0.0925390653650994","0.440953860632189","0.84951776978161","15.7938906680224"
"Water","leaf water","Mpala leaf H2O","4","-1.85231788802537","-3.5409744173853","17.3166043540654","0.383266221036099","0.718757416978399","9.03809795746422"
"Water","surface","Mpala surface H2O","5","0.048918351329856","0.0806366306276801","6.34221035844364","1.77964121535463","3.40376015599111","17.9524467215933"
"Water","precipitaiton","USNIP sample","3","-3.22973995434642","-6.14745926219855","16.1185360944119","1.32215352361558","2.51207720640224","4.22655805902799"
"Water","river","river sample","2","-8.73921613396024","-16.6139656022494","32.9577040274591","0.143351341159162","0.270439628287979","0.559217423111842"
"CarbonateStd","NBS-18","NBS-18","26","7.8086803986648","14.7893763485738","-110.31338216647","0.902695215180888","1.70965547296795","18.9365215327762"
"CO2Std","Tank#2 CO2","Tank#2 CO2","38","15.3864600927701","29.3636382410009","-117.540898478407","0.599681665895149","1.14341155509472","17.1265690864015"
"CarbonateStd","NBS-19","NBS-19","48","19.020826673525","36.0245864831322","-154.98956877543","0.793328277264945","1.50252521869353","20.1457690200385"
"CarbonateStd","HAF Carrara","HAF Carrara","3","19.164573161218","36.296907551651","-194.026053661474","0.355709298413482","0.673683493170273","4.72866078405827"
"Carbonate","","carbonate","6","18.5490617528029","35.3376307168557","-200.31738847685","2.95093217366208","5.81483633398961","20.0688809717958"
"Water","river","river H2O","1","-2.39240183427869","-4.5667819281029","18.8590237596387",NA,NA,NA
"Water","river","River","1","-3.04135911281747","-5.78274648558035","11.9310315689551",NA,NA,NA
"Water","leaf water","leaf H2O","1","2.59893990687136","4.97817590181466","-29.5369692867795",NA,NA,NA
"CarbonateStd","102-GC-AZ01","102-GC-AZ01","29","12.6472394894098","23.9533149093502","-110.782727070457","0.301973980512637","0.571928439434186","14.1733472412413"
"Carbonate","calcite concentrate","Carbonate","3","14.0227443447006","26.5585092863927","-148.558514776214","0.642458502266224","1.21678094997822","9.93297261461295"
"Water","precipitaiton","OR10 8/19/97","1","-4.95127312064963","-9.4180506430633","21.4576188877968",NA,NA,NA
"Water","precipitaiton","OR02 8/26/97","1","-2.29515938681423","-4.33665588622028","-5.40507888992137",NA,NA,NA
"Water","precipitaiton","OR02 7/8/97","1","-3.38173954099598","-6.42100627541586","8.55177242359417",NA,NA,NA
"Water","precipitaiton","OR10, 7/8/97","1","-3.70959145580463","-7.06364368630992","20.0124105670016",NA,NA,NA
"Water","precipitaiton","OR10, 6/24/97","1","-3.66461561557917","-6.95976855681453","10.1421824189059",NA,NA,NA
"Water","precipitaiton","NC35 8/19/97","1","-3.42251668981262","-6.52905014437419","24.8217864169487",NA,NA,NA
"Water","precipitaiton","NC35 8/26/97","1","-2.56385304559258","-4.98182082503352","66.5483500251174",NA,NA,NA
"Water","leaf water","Mpala leaf","5","3.12448276710727","6.01723285442938","-52.6161800314433","3.6032876103504","6.95308017265705","73.4406814331114"
"Water","precipitaiton","OR ppt","8","-4.00302895449276","-7.6446568693097","33.3498725027606","1.87881983771903","3.57269013803168","12.908308848003"
"Water","precipitaiton","NC35, 8/26/97","1","-1.79260173886421","-3.45707494273941","32.7338309021981",NA,NA,NA
"Water","precipitaiton","CO02 8/26/97","1","-2.37680931203361","-4.56994071131247","36.1193835393729",NA,NA,NA
"Water","precipitaiton","WY95, 8/12/97","1","-4.25470412123577","-8.08182123080633","12.4974886299691",NA,NA,NA
"Water","LGR std","LGR#7","1","-8.99754347954051","-17.092279283943","27.1799823814103",NA,NA,NA
"Water","river","OR river 12/1/10","2","-5.92765384992089","-11.2622483795124","18.8132944616761","1.15593369528645","2.15518550933102","17.9957463596691"
"Water","river","OR river 5/25/10","1","-6.75075481101413","-12.8530896977757","35.6765494114564",NA,NA,NA
"Water","river","OR river 10/14/10","1","-4.79387209575133","-9.11127562194315","16.8814326346496",NA,NA,NA
"Water","LGR std","LGR#10","1","-1.7837479371497","-3.41721908568279","20.5437400908159",NA,NA,NA
"Water","precipitaiton","OR ppt 11/1/10","1","-4.2120246680363","-8.04260579109304","34.471189660823",NA,NA,NA
"Water","river","OR river 3/2/09","1","-5.27297724500291","-10.0296810625821","22.6943560404482",NA,NA,NA
"Water","precipitaiton","OR ppt 3/8/10","1","-3.89169699354933","-7.38425656213615","7.19047125856154",NA,NA,NA
"Water","river","OR river 8/26/10","1","-5.11020617544464","-9.72563078071856","24.926876774761",NA,NA,NA
"Water","LGR std","LGR#8","2","-7.58698599796428","-14.4363717724111","35.4182978687896","0.410290447088035","0.75724480806837","10.4651884279198"
"Water","precipitaiton","OR ppt 2/16/10","1","-5.20858101691607","-9.93499262738054","37.0950903408547",NA,NA,NA
"Water","river","OR river 8/27/09","1","-6.23493587320607","-12.0674294946026","136.666899944113",NA,NA,NA
"Water","river","OR river 5/24/10","1","-4.43280728805046","-8.39405965776519","-0.743788750440011",NA,NA,NA
"Water","river","OR river 2/26/09","1","-4.80044608369638","-9.1585405690298","35.2633367513553",NA,NA,NA
"Water","precipitaiton","OR ppt 6/1/10","1","-4.44177552692131","-8.43398164413905","11.3667811841101",NA,NA,NA
"Water","river","OR river 5/14/09","1","-4.48978832599889","-8.77583277186428","143.851377545448",NA,NA,NA
"Water","precipitaiton","OR ppt 8/30/10","2","-5.3241058599893","-10.1395459423173","29.5743975542142","0.610926289094706","1.1863707757078","15.4774804790025"
"Water","River?","OR ppt 8/26/10","1","-4.69177150359627","-8.94698280136552","32.2354155247231",NA,NA,NA
"Water","leaf water","A. brevispica, 14","1","6.07369526967707","11.6446474771751","-74.6785982713574",NA,NA,NA
"Water","leaf water","A. brevispica, 11:58","1","4.14497016767174","7.91866048193356","-36.0825667891778",NA,NA,NA
"Water","leaf water","A. brevispica, 16:53","1","5.6452667095904","10.8283803824655","-72.1181323513696",NA,NA,NA
"Water","Mpala leaf, spatial","Grass, KLEE","2","4.95791263558461","9.58113858115404","-100.928535264735","0.370338158130355","0.66795371541806","17.6585963896016"
"Water","Mpala leaf, spatial","grass, Hippo Pool","1","7.28974938312562","14.0030247425938","-103.847680963916",NA,NA,NA
"Water","Mpala leaf, diurnal","grass, 15:58","1","5.36957925551188","10.3684811417104","-104.978787311219",NA,NA,NA
"Water","leaf water","A. brevispica, 7","1","0.365332901439352","0.666567936547603","13.3850309422177",NA,NA,NA
"Water","Mpala leaf, diurnal","grass, 6:06","1","-0.0985344614983523","-0.188321411903134","0.899243986502332",NA,NA,NA
"Water","Mpala leaf, seasonal","grass, June25","1","5.38361377258278","10.3899904985322","-102.301210642227",NA,NA,NA
"Water","leaf water","A.drep, KLEE","1","3.57767171948051","6.89622724232051","-63.5362644647217",NA,NA,NA
"Water","leaf water","A.brevispica, July11","1","1.26689379943415","2.42822720661406","-15.2101656580741",NA,NA,NA
"Water","leaf water","A.brevispica","1","-1.21306071830567","-2.33132141854756","17.8769906874412",NA,NA,NA
"Water","stem water","A.brevispica, Hippo Pool","1","-2.35358913764418","-4.54192976509021","44.5497783234514",NA,NA,NA
"Water","stem water","A.brevispica, KLEE","1","-1.77007263166977","-3.45366073887154","53.4602384544065",NA,NA,NA
"Water","marine water","Sea water","1","0.719633960993559","1.36312836426926","-0.0978153406111515",NA,NA,NA
"Water","Antarctic","Antarctic","1","-22.306663430558","-42.2915376131878","23.2684292051459",NA,NA,NA
"Water","leaf water","Mapla leaf, spatial","2","4.08614900091225","7.79335656698917","-28.7432664580289","0.779220408190737","1.54450253168166","36.2769285371743"
"Water","leaf water","Mapla leaf, diunal","3","0.752345191223354","1.35655513539882","36.0840797327794","0.551165874629349","1.05365860381842","22.3657084764248"
"Water","leaf water","Mpala leaf, diurnal","3","0.93789328473103","1.73963510328924","19.3659501943117","2.92269479343571","5.58959733471241","35.2114168890128"
"Water","leaf water","Mpala leaf, spatial","1","-1.3056117317024","-2.58539453517394","59.4765828694448",NA,NA,NA
"Water","soil water","Toolik Soil Water","2","-10.6954265194262","-20.3061720299218","26.2323123724686","0.197941795574047","0.353813077664641","11.1284905671007"
"Water","snow","Toolik Snow Water","1","-14.1972177859547","-26.9734113052528","44.7433832187727",NA,NA,NA
"Water","permafrost","Toolik Permafrost Water","3","-11.2649677045758","-21.4052209819859","36.9889739127108","0.0495821567915514","0.0971463318547564","3.2251671211988"
"Water","tap","UCLA Tap Water","2","-4.84452291440738","-9.28527854630819","58.1041580433373","0.152954705520921","0.286375477512974","1.74845339407399"
"Water","leaf water","Mpala Leaf","2","1.35818923247118","2.64457688631507","-38.1473635031791","1.8166243207023","3.54792701903236","56.6811453467834"
"WaterStd","W-64444","W-64444","3","-28.2968261341858","-53.5994403193407","3.67835442606197","0.238315045449843","0.487555623942191","19.1143783544758"
"Water","precipitaiton","USNIP06","13","-6.99881163317112","-13.3131801922173","30.5475083196325","5.01317093304631","9.53978522208041","37.740137356148"
"Water","leaf water","Mapla leaf","2","2.90075941355544","5.5063907374156","-6.61489580000225","4.16089699140922","8.11942257243951","126.15812683885"
"Water","precipitaiton","USNIP97","1","0.424221004377659","0.823036562685369","-10.342300720216",NA,NA,NA
"Water","precipitaiton","Oregon precip","1","-2.53958692143148","-4.88786292977335","41.2047054888469",NA,NA,NA
"Water","precipitaiton","Jimma","4","-0.289360448634624","-0.58924835799234","21.7626843853297","1.92960440028507","3.67676305074579","11.8269726335505"
"Water","precipitaiton","Jijiga","2","-1.0999786881784","-2.14119872038099","30.574236182762","1.55901734292889","2.98833154820649","18.8217145241423"
"Water","precipitaiton","Debre Markos","3","-1.79289710620212","-3.46825091019508","38.3393743808816","2.07630858864339","3.94426590612644","7.44980881405787"
"CO2","air sample","A11-608-A11-609","1","20.4932642856299","39.0730623872051","-137.312654814416",NA,NA,NA
"CO2","air sample","A12-462/A12-463","1","20.363476059912","38.7891880397789","-117.215225091243",NA,NA,NA
"CO2","air sample","A11-806/A11-807","1","20.3892266689622","38.8184276458673","-106.903128055702",NA,NA,NA
"CO2","air sample","A13-107/A13-108","1","19.8599342145956","37.8370391308418","-118.022446488894",NA,NA,NA
"CO2","air sample","B13-129/B13-130","1","20.5027190850983","39.0600524989867","-120.988634366665",NA,NA,NA
"CO2","air sample","A11-166-A11-165","1","20.3625550038558","38.7869372090222","-116.947842507898",NA,NA,NA
"CO2","air sample","A12-242-A12-243","1","20.3484586224868","38.7589717609154","-116.278467276469",NA,NA,NA
"CO2","air sample","A12-237/A12-236","1","20.5550020881677","39.1559040367919","-119.315243258384",NA,NA,NA
"CO2","air sample","B13-038/B13-037","1","20.2638912211153","38.6103329541587","-122.364578680507",NA,NA,NA
"CO2","air sample","A11-827/A11-828","1","19.3312375188586","36.8185777662605","-108.971541727016",NA,NA,NA
"CO2","air sample","A12-036/A12-037","1","20.0000710040081","38.1095826368196","-121.788628232636",NA,NA,NA
"CO2","air sample","A12-575/A12-576","1","18.540500074983","35.279971137007","-87.3246853567125",NA,NA,NA
"CO2","air sample","A12-759/A12-758","1","18.5241551988434","35.2509372798564","-88.3396849208324",NA,NA,NA
"Carbonate","Cret. Belemnite","1.109.9","1","20.4088532680748","38.6533354526694","-107.85093460472",NA,NA,NA
"CO2","LGR CO2","CO2","1","3.60483762940063","6.73611734437878","48.1676715686397",NA,NA,NA
"Carbonate","marine carbonate","60A1ML","2","21.7965496772012","41.2816883689255","-181.781591349582","1.75057763021252","3.31549503824848","3.74998268152013"
"Carbonate","marine carbonate","60A1015-16","2","22.5589471207029","42.7256614163123","-202.107109924826","0.303201364399712","0.57424962178262","2.43590153732396"
"Carbonate","marine carbonate","60A48116-119","4","22.6897363509529","42.9733243350293","-178.897942600681","0.889454892467714","1.68459611306142","14.2556429820462"
"Carbonate","Kora Graben - core","79Q2-36-37","1","20.0922390565052","38.0538923365087","-216.097171441564",NA,NA,NA
"Carbonate","Kora Graben - core","62Q2W-106-107B","2","20.6033089444393","39.0217967487944","-199.738924108983","2.07943848220533","3.93837612977453","24.1143156504471"
"Carbonate","Kora Graben - core","46Q1-100.5-103.5","2","21.8021423470966","41.2923053051359","-194.854015105461","0.147398344830329","0.27915254327829","5.80197941446365"
"Carbonate","Kora Graben - core","78Q2W-43.5-46.5","4","21.2527829502826","40.251821032382","-178.554815100452","1.26534123756178","2.39650745370786","21.5815311860229"
"Carbonate","Kora Graben - core","64Q1-70-74","1","19.9112747528723","37.711012350117","-139.767989443232",NA,NA,NA
"Water","spring","L-TURKANA EYILE SPRING","2","2.41419812965596","4.62692058947025","-28.8159415843287","0.0469245951454344","0.0923151446519769","1.81780123081501"
"Carbonate","","OSI-010","2","24.1333791785954","45.7076853232817","-278.672097314809","0.110533995055947","0.20935212885039","3.92897713917561"
"Carbonate","","OSI-011","3","25.4751471173117","48.2489111548878","-277.972469022065","0.110590970813602","0.209466018569294","8.25075448609581"
"Carbonate","","OSI-012","3","27.1137035900101","51.3522717684305","-295.903721190954","0.472084648899233","0.894103646547723","2.15494913507755"
"Carbonate","","OSI-013","2","23.5258606688511","44.5570234635265","-247.719890947264","0.188318889684033","0.356672628945576","4.2583992306681"
"Water","WaterEvap","CaCl2_evap_0.2","1","5.99064407480095","11.6413004181189","-155.962545965822",NA,NA,NA
"Water","WaterEvap","2015NaCl-evap-0.26","1","8.16053403976948","15.7531673831043","-157.138338509577",NA,NA,NA
"Water","WaterEvap","2015CaCl2-evap-0.3","1","5.04966150905122","9.73341273621067","-89.5804156680127",NA,NA,NA
"Water","WaterEvap","2015NaCl-evap-0.46","1","3.37521607839907","6.49802329396459","-55.7402208142328",NA,NA,NA
"Water","WaterEvap","2015KCl-evap-0.37","1","5.47076219670128","10.5601400963276","-104.991774159689",NA,NA,NA
"Water","WaterEvap","2015MgCl2-Evap-0.36","1","5.22453042513322","10.0334467043331","-73.1294347546614",NA,NA,NA
"Water","WaterEvap","2015MgCl2-Evap-0.73","3","0.583311928385441","1.10945299957896","-2.47925539224945","0.920048092444886","1.79568145024369","31.9416563439835"
"Water","WaterEvap","2015MgCl2-Evap-0.56","2","2.61768830753985","4.97356339499322","-8.35316501657758","0.425564101546393","0.792812737255935","6.9589762752635"
"Water","WaterEvap","2015CaCl2-Evap-0.14","1","0.00297787576077808","0.172200355215151","-87.9439117928215",NA,NA,NA
"Carbonate","","44K3SC1","2","28.5869293387012","54.1424471821269","-282.773461846239","1.10651528166314","2.09566958661242","1.7399318008929"
"Water","WaterEvap","2015KCl-Evap-0.73","1","0.487662860666716","0.933155181949962","-5.04307540286397",NA,NA,NA
"Water","WaterEvap","2015KCl-evap-1","1","-4.35324956560738","-8.33306225438973","46.6073047104025",NA,NA,NA
"Water","WaterEvap","2015MgCl2-evap-1","1","-4.4436697902377","-8.53151753109828","60.9714661821918",NA,NA,NA
"Water","WaterEvap","2015CaCl2-evap-1","1","-3.11788339743452","-5.95779768165937","27.83377848163",NA,NA,NA
"Water","WaterEvap","2015KCl-evap-0.64","1","1.61381325236511","3.09282513766136","-19.1984203200846",NA,NA,NA
"Water","WaterEvap","2015DIWater_evap_0.64","1","1.42245685950738","2.72527926578905","-16.4905928292449",NA,NA,NA
"Water","WaterEvap","2015CaCl2_evap_0.72","1","1.44900690202763","2.76994314488708","-13.5230784727469",NA,NA,NA
"Water","WaterEvap","2015NaCl_evap_0.64","1","2.43420683580451","4.643651818905","-17.6413245773346",NA,NA,NA
"Water","WaterEvap","2015CaCl2_evap_0.3","1","6.6880468107313","12.8570403609835","-100.470499867983",NA,NA,NA
"Water","WaterEvap","2015MgCl2_evap_0.3","1","7.16575726670509","13.7612315861896","-100.173010803004",NA,NA,NA
"Water","WaterEvap","2015KCl_evap_0.3","1","8.21549892741379","15.8356947533259","-145.747902342272",NA,NA,NA
"Carbonate","soil carbonate","BUR MH 30Buff","1","18.2283089337248","34.5235308733473","-115.367402541881",NA,NA,NA
"Carbonate","soil carbonate","SHP 80 XTLN","2","18.4981716237637","35.0346376414893","-117.050942601161","0.0693560027539344","0.13136151623802","2.87781975622808"
"Carbonate","soil carbonate","RCWMA LD 129-140A","2","17.5519497449304","33.2425728371756","-128.713098335753","0.00542389920453518","0.0102717035906666","0.439708699933223"
"Carbonate","soil carbonate","RCWMA LD 129-140E","2","17.9246522849383","33.9484206255962","-113.80537649323","0.215372881797499","0.407880794466404","11.822319253847"
"Carbonate","Lake Junin carbonate","pp409","2","16.7607381045217","31.7440639333667","-127.652295862207","0.861788599864503","1.63219039804813","7.93030494053856"
"Carbonate","Lake Junin carbonate","pp399","2","15.2156258873355","28.8176954514599","-117.311035328325","0.132389786250264","0.250732079848315","3.24809031686415"
"Carbonate","Lake Junin carbonate","pp445","2","15.2131481258811","28.8130110751722","-121.721809833159","0.39445312826001","0.747059131988422","5.90657010699866"
"Carbonate","Lake Junin carbonate","pp434","1","17.7088083315735","33.5396797311266","-142.56646134574",NA,NA,NA
"Carbonate","Lake Junin carbonate","pp426","4","18.0220404643998","34.1329211008638","-141.876856310472","0.483645090418667","0.916010753818661","8.66452424833466"
