"reactor.ID","IPL.num","User","Type.1","Type.2","sample.ID","group.num","rep.num","Date.Time","Data.File","IPL.ID","Name.full","flag.major","flag.analysis","primes","comments","version","d17O","d.17O","d17O.err","d18O","d.18O","d18O.err","CAP.17O","CAP17O.err","d33","d33.err","d34","d34.err","d35","d35.err","d36","d36.err","X33.mismatch.R2","X34.mismatch.R2","d.18O.prelim","test.d.18O.prelim","flag.d18O","flag","reactor.segment","d33.smow_ref","d34.smow_ref","d17O.slap","d18O.slap","dp17O.final","dp18O.final","D17O.final","D17O.per.meg","dp17O.final.2nd","dp18O.final.2nd","D17O.final.3rd","dp17O.final.2nd.type","dp18O.final.2nd.type","D17O.final.3rd.type"
"680-847",684,NA,"WaterStd","USGS46","USGS46",1,2,"2013-01-21 00:00:00",NA,"JHU-17O-684",NA,NA,0,0,"session.name, Jan_2013_2, session.numeric, 2013_01_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS46-011713, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, high 28 peak, O2.yield, 304, O2.resid, 160, comments, high 28 peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.271347826087,0.0186806175793459,-62.6851304347826,0.0134316494579462,NA,NA,NA,NA,-33.271347826087,-62.6859228587669,-62.6851304347826,0.802999999999997,0,0,1,-15.2056169992991,-28.6585448739313,-15.764304649304,-29.7010802661875,-15.8898828166632,-30.1510902836555,0.0298928531068885,29.8928531068885,-15.8898828166632,-30.1510902836555,29.8928531068885,"no correction","no correction","no correction"
"680-847",686,NA,"WaterStd","USGS47","USGS47",1,2,"2013-01-22 00:00:00",NA,"JHU-17O-686",NA,NA,0,0,"session.name, Jan_2013_2, session.numeric, 2013_01_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS47-012113, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, high 28 peak, O2.yield, 335, O2.resid, 151, comments, high 28 peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.4408985507246,0.0189776532110304,-53.8116956521739,0.018667606692931,NA,NA,NA,NA,-28.4408985507246,-53.8133618291021,-53.8116956521739,0.0152608695652034,0,0,1,-10.2989915919405,-19.4902952695433,-10.6773990850522,-20.199309726258,-10.7348115536084,-20.406105273173,0.0396120306270031,39.6120306270031,-10.7348115536084,-20.406105273173,39.6120306270031,"no correction","no correction","no correction"
"680-847",688,NA,"WaterStd","USGS45","USGS45",1,2,"2013-01-22 00:00:00",NA,"JHU-17O-688",NA,NA,0,0,"session.name, Jan_2013_2, session.numeric, 2013_01_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS45-012113, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, high 28 peak, O2.yield, 325, O2.resid, 129, comments, high 28 peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.747884057971,0.0196293119892942,-37.6716956521739,0.0127628877746313,NA,NA,NA,NA,-19.747884057971,-37.6716956521739,-37.6716956521739,0.078304347826105,0,0,1,-1.44365258399926,-2.76484372714914,-1.49669553974483,-2.86542271510161,-1.49781670735154,-2.86953589798724,0.0172982467857208,17.2982467857208,-1.49781670735154,-2.86953589798724,17.2982467857208,"no correction","no correction","no correction"
"680-847",689,NA,"WaterStd","SMOW","SMOW",1,1,"2013-01-22 00:00:00",NA,"JHU-17O-689",NA,NA,0,0,"session.name, Jan_2013_2, session.numeric, 2013_01_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW-2-201, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, high 28 peak, O2.yield, 329, O2.resid, 130, comments, high 28 peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.4368115942029,0.0171475219975493,-35.221536231884,0.00936134057478906,NA,NA,NA,NA,-18.4368115942029,-35.2190159945939,-35.221536231884,2.4501594202899,0,0,1,-0.108098485898767,-0.225808866232247,-0.11207026087236,-0.234023300564763,-0.11207654121326,-0.234050688290365,0.0115022222040526,11.5022222040526,-0.11207654121326,-0.234050688290365,11.5022222040526,"no correction","no correction","no correction"
"680-847",691,NA,"WaterStd","USGS48","USGS48",1,1,"2013-01-22 00:00:00",NA,"JHU-17O-691",NA,NA,0,0,"session.name, Jan_2013_2, session.numeric, 2013_01_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS48-012113, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, high 28 peak, O2.yield, 341, O2.resid, 139, comments, high 28 peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.360347826087,0.0192604639909266,-36.9663188405797,0.00967940924549885,NA,NA,NA,NA,-19.360347826087,-36.9663188405797,-36.9663188405797,1.7447826086957,0,0,1,-1.0488798944962,-2.03388054985998,-1.08741803756665,-2.10786869078543,-1.08800970552667,-2.11009337276894,0.0261195952953321,26.1195952953321,-1.08800970552667,-2.11009337276894,26.1195952953321,"no correction","no correction","no correction"
"680-847",692,NA,"WaterStd","USGS48","USGS48",1,2,"2013-01-23 00:00:00",NA,"JHU-17O-692",NA,NA,0,0,"session.name, Jan_2013_2, session.numeric, 2013_01_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS48-012113, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, high 28 peak, O2.yield, 308, O2.resid, 159, comments, high 28 peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.1053623188406,0.0193048081594538,-36.4970724637681,0.0147062600122015,NA,NA,NA,NA,-19.1053623188406,-36.5004647210171,-36.4970724637681,0.469246376811604,0,0,1,-0.803360891990734,-1.5754215790722,-0.832878129526891,-1.63273198199503,-0.833225165221922,-1.63406634148957,0.029561863084572,29.561863084572,-0.833225165221922,-1.63406634148957,29.561863084572,"no correction","no correction","no correction"
"680-847",693,NA,"Water","precipitaiton","NQ7917 TX03",1,1,"2013-01-23 00:00:00",NA,"JHU-17O-693",NA,NA,0,0,"session.name, Jan_2013_2, session.numeric, 2013_01_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, NQ7917, replicate.set, NA, project, USNIP, flag_normalize, 0, flag notes, NA, comments, high 28 peak, O2.yield, 344, O2.resid, 103, comments, high 28 peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.3427391304348,0.0234229978577571,-35.0172898550725,0.0128739379336651,NA,NA,NA,NA,-18.3427391304348,-35.0167584614075,-35.0172898550725,1.4797826086956,0,0,1,-0.0265083152835022,-0.0420050371842118,-0.0274822888073658,-0.0435330888738639,-0.0274826664523526,-0.0435340364662519,-0.00449669519817161,-4.49669519817161,-0.0274826664523526,-0.0435340364662519,-4.49669519817161,"no correction","no correction","no correction"
"680-847",694,NA,"WaterStd","SMOW","SMOW",2,2,"2013-01-23 00:00:00",NA,"JHU-17O-694",NA,NA,0,0,"session.name, Jan_2013_2, session.numeric, 2013_01_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW-2-201, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, high 28 peak, O2.yield, 333, O2.resid, 130, comments, high 28 peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.2976086956522,0.020448081595121,-34.9129855072464,0.0198008413024049,NA,NA,NA,NA,-18.2976086956522,-34.9374290045863,-34.9129855072464,0.104304347826101,0,0,1,0.0194641847424126,0.0660797662237478,0.0201793414922835,0.0684836040774604,0.0201791378920599,0.0684812591824509,-0.0159789669562741,-15.9789669562741,0.0201791378920599,0.0684812591824509,-15.9789669562741,"no correction","no correction","no correction"
"680-847",695,NA,"Water","precipitaiton","OK17 7/19/97",1,1,"2013-01-23 00:00:00",NA,"JHU-17O-695",NA,NA,0,0,"session.name, Jan_2013_2, session.numeric, 2013_01_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, NQ7942, replicate.set, NA, project, USNIP, flag_normalize, 0, flag notes, NA, comments, high 28 peak, O2.yield, 330, O2.resid, 148, comments, high 28 peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.9845507246377,0.0188691595809327,-34.3561594202898,0.00920617310224,NA,NA,NA,NA,-17.9845507246377,-34.3582254569743,-34.3561594202898,0.556826086956598,0,0,1,0.338363341152448,0.643087718389612,0.350795550902633,0.666481847773912,0.350734036528853,0.666259847381264,-0.00105116288845464,-1.05116288845464,0.350734036528853,0.666259847381264,-1.05116288845464,"no correction","no correction","no correction"
"680-847",696,NA,"WaterStd","SMOW","SMOW",2,3,"2013-01-23 00:00:00",NA,"JHU-17O-696",NA,NA,0,0,"session.name, Jan_2013_2, session.numeric, 2013_01_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW-2-201, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, He leak on injector, high 28 peak, O2.yield, 354, O2.resid, 120, comments, He leak on injector, high 28 peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.1522608695652,0.0200936426688474,-34.6575797101449,0.0123197662758351,NA,NA,NA,NA,-18.1522608695652,-34.6575797101449,-34.6575797101449,0.301420289855102,0,0,1,0.167523980105555,0.330742610528123,0.173679177804468,0.342774305742225,0.173664097322104,0.342715572051133,-0.00728972472089454,-7.28972472089454,0.173664097322104,0.342715572051133,-7.28972472089454,"no correction","no correction","no correction"
