"reactor.file.number","last.update","numSeg","prefer.auto","prefer.auto.seg1","prefer.auto.seg2","prefer.auto.seg3","prefer.auto.seg4","prefer.auto.seg5","prefer.user","prefer.user.seg1","prefer.user.seg2","prefer.user.seg3","prefer.user.seg4","prefer.user.seg5"
1,"20210412",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2,"20210412",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
3,"20210412",2,3,2,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
4,"20210412",2,3,2,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
5,"20210412",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
6,"20210412",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
7,"20210412",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
8,"20210412",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
9,"20210628",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10,"20210628",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
11,"20210628",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
12,"20210628",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
13,"20210628",2,3,2,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
14,"20210628",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15,"20210628",2,3,2,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
16,"20210628",3,3,2,2,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
17,"20210602",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
18,"20210624",2,3,2,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19,"20210629",0,2,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
20,"20210629",0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
21,"20210714",0,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
