"Type.1","Type.2","sample.ID","n","avg.dp17O","avg.dp18O","avg.D17O","sd.dp17O","sd.dp18O","sd.D17O"
"WaterStd","SMOW","SMOW","330","-1.85697464689308e-05","-6.78541739948274e-05","0.0172572574003094","0.19301112046571","0.368957077321985","8.06959085708309"
"WaterStd","SLAP","SLAP","292","-30.1486807327453","-57.0999457984469","0.0906488346075938","0.439204072730981","0.842456867984796","11.7225116595801"
"WaterStd","USGS48","USGS48","26","-1.15271132816813","-2.24344620783278","31.8282695675813","0.194854328768443","0.376234386113056","8.70750339364675"
"WaterStd","USGS45","USGS45","69","-1.17207954925868","-2.24604563188883","13.8325443786258","0.244694633125793","0.463817688523114","8.85355565608831"
"Water","Ian's Samples","OL3-South","2","-2.97823740703148","-5.6617943414303","11.1900052437217","0.0599833839968793","0.108933560796038","2.46646389657193"
"WaterStd","USGS47","USGS47","57","-10.4364592042626","-19.8324445627449","35.0715248666742","0.418317990454312","0.783526775630638","11.2810375714667"
"Water","Ian's Samples","OL6-EOC","2","-3.29963564448316","-6.27728368982886","14.770143746486","0.210668722071929","0.400623952093177","0.860724633267707"
"Water","Ian's Samples","OL5-OLN","3","-3.02464209374565","-5.76440487318644","18.9636792967899","0.149086238264819","0.289137788421908","4.12769252923178"
"Water","Ian's Samples","WL1","2","2.79837123656029","5.4231592762753","-65.0568613130735","0.147857651979712","0.298096488555221","9.53729397744185"
"Water","Ian's Samples","WL2","2","2.8548767944755","5.53409821701812","-67.1270641100654","0.211109426878751","0.395928060889881","2.05941072889841"
"Water","Ian's Samples","WL3","2","3.03046361648835","5.86731630524496","-67.4793926809836","0.0725819888509808","0.15405938500727","8.76136643286248"
"Water","Ian's Samples","Tahoe4","2","-2.49428465767232","-4.70792192669796","-8.50188037580124","0.0846305407800459","0.164231741495508","2.0838187295847"
"Water","Ian's Samples","Tahoe5-50m","2","-2.56647692687265","-4.85955851183577","-0.63003262336947","0.0131661211834834","0.0122807532318791","6.68188347705509"
"Water","Ian's Samples","Tahoe25-EB","2","-3.65645527837409","-6.94941452846552","12.8355926556951","0.152658462228927","0.295690370995586","3.46605365674879"
"Water","Ian's Samples","Tahoe3-E","2","-2.61130421110092","-4.95715021599564","6.07110294477107","0.0659009668020864","0.158380236555446","17.723798099191"
"Water","Ian's Samples","EquilH2O-Dec11","1","6.60560326257878","12.6674627473303","-82.8170680116367",NA,NA,NA
"Water","Emily's Samples","SGN4.1","3","-8.06624484657662","-15.3442601252857","35.524499574213","0.182120291524843","0.334993055006851","7.09221765941266"
"Water","Emily's Samples","SGN4.15","2","-5.68222157184458","-10.823987346895","32.8437473160235","0.103694052288958","0.197269620379938","0.464307271632336"
"Water","Emily's Samples","OLL4.1","2","-8.27423178928692","-15.7189347698856","25.3657692127183","0.0751483929712682","0.161183810581335","9.95665901566217"
"Water","Emily's Samples","OLL4.15","2","-8.33502192359101","-15.8379761286914","27.4294723580742","0.160941803056032","0.312526300629196","4.07208367617891"
"Water","Emily's Samples","MAC4.1","2","-14.9122415318514","-28.3212210743142","41.3631953864808","0.000523307134079232","0.0119961881737518","6.85729448983037"
"Water","Emily's Samples","MAC4.15","2","-12.0910738330912","-22.980971927685","42.8793447265186","0.0753543417650986","0.138201178918859","2.38411929597589"
"Water","Emily's Samples","AYV4.1","2","-14.0776585348877","-26.7265939840933","33.9830887135086","0.0119060226069719","0.044334418149398","11.5025501758875"
"Water","Emily's Samples","AYV4.15","2","-10.379915107681","-19.7214738529808","33.0230866928982","0.190457596381147","0.359575479794716","0.601743049518711"
"Water","Emily's Samples","ICH4.1","2","-10.5969998557356","-20.1480958809201","41.1947693902297","0.0727615818129553","0.135120007246818","1.41821798666521"
"Water","Emily's Samples","ICH4.15","2","-10.532179905904","-20.005794320594","30.8794953697049","0.0956001752673273","0.192121443431979","5.83994686477299"
"Water","Emily's Samples","ICH7.15","2","-2.90459710543118","-5.56799640414186","35.3049959557168","0.0478001961252268","0.0820011696685142","4.50357854025186"
"Water","Emily's Samples","ICH9.15","2","-3.33151488596401","-6.37732594150122","35.7132111486264","0.202102810340159","0.403663208636968","11.0313638201646"
"Water","Ian's Samples","PL1","2","0.11666993085565","0.305457813208289","-44.611794518326","0.0475077580767935","0.0852005724210981","2.52185583845384"
"Water","Emily's Samples","SGN7.15","2","-1.19692747648461","-2.32249460891931","29.34967702478","0.0297526918016711","0.0492043116165592","3.77281526812574"
"Water","Emily's Samples","SGN9.1","4","-0.234551250093292","-0.483427467073017","20.6984525212617","0.0342324824968952","0.0494321998281635","11.772436540447"
"Water","Ian's Samples","Tahoe36-TrukeeOut","3","-5.63517659929654","-10.7140220685345","21.8270528896731","0.0317633788297126","0.0696658047915048","5.02210234692011"
"Water","Ian's Samples","Tahoe50-UTrukee","2","-6.47254030347219","-12.2992992296643","21.4896897905828","0.0136479198647004","0.00941857665192325","8.67491139248765"
NA,NA,NA,"0","NaN","NaN","NaN",NA,NA,NA
"Water","Uncatagorized","SGN9.15","2","-0.393580255690571","-0.802970559938133","30.3881999567636","0.0399706669595975","0.0794881693026186","1.99908643218516"
"Water","Uncatagorized","SGN10.1","3","-0.872061244787338","-1.71447349497032","33.180760556993","0.0929102255436603","0.181846298014475","8.12237195228284"
"Water","Uncatagorized","SGN11.2","2","-1.16622036115354","-2.26081757447924","27.4913181715016","0.0144488390180064","0.0345372741702532","3.78684174389317"
"Water","Uncatagorized","SGN11.15","2","-1.5087003112876","-2.93128494247056","39.0181383368515","0.000118281888231446","0.00946361542971766","4.87850705865919"
"Water","Uncatagorized","SGN12.1","2","-1.65638048392924","-3.19450273708347","30.3169612508349","0.0352340119654393","0.0588575328405746","4.15723462561467"
"Water","Uncatagorized","MAC9.15","3","-2.8800731560449","-5.54358837682804","46.9415069203049","0.0358638502903793","0.0604365364309424","4.30297040277101"
"Water","Uncatagorized","MAC10.1","2","-2.92333615952873","-5.63338759095193","51.0924884938904","0.0687842194845797","0.123429493510223","3.61344691118027"
"Water","Uncatagorized","MAC11.1","4","-4.51435542563229","-8.65388056601314","54.8935132226487","0.0585417416837138","0.10151588218606","9.7378111162445"
"Water","Uncatagorized","AYV11.1","4","-4.45399344896224","-8.52788146396522","48.7279640114002","0.0905105230423186","0.152523590177729","10.7243488861135"
"Water","Uncatagorized","AYV11.15","2","-1.7987455699079","-3.47118811085399","34.0417526230052","0.0380420085600245","0.0735010732082183","0.766558093915875"
"Water","Uncatagorized","AYV12.1","2","-2.27096104724218","-4.39683925450842","50.5700791382762","0.0400095510323092","0.0728254776182382","1.5576988498791"
"Water","Uncatagorized","AYV10.15","2","-4.73020270489583","-9.05733046304823","52.067779593632","0.135292013091798","0.250693820711583","2.92567575608298"
"Water","Uncatagorized","MAC10.15","2","-7.21014882009826","-13.7501550044569","49.933022254975","0.0517420472935795","0.0791603959647692","9.94535822417409"
"Water","Uncatagorized","SNT10.1","2","-0.36521599913508","-0.745916287547288","28.6278006898882","0.0402546571407036","0.0831997697579841","3.6748212915118"
"Water","Uncatagorized","SNT10.15","2","-4.45957115010691","-8.50904453732354","33.2043655999224","0.0155883793818924","0.0509866750348966","11.3325850365338"
"Water","Uncatagorized","SNT11.1","2","-2.88996828396297","-5.56492410631814","48.3116441730063","0.0543076057040799","0.0973956275211227","2.88271437293343"
"Water","Uncatagorized","FurnaceH2O-1","1","12.4678600654938","24.3768493382755","-403.116385115679",NA,NA,NA
"WaterStd","Furnace","Furnace","15","11.896207198492","23.2585629832158","-384.314056645916","0.388288214054835","0.75252575545958","21.1585690204537"
"CarbonateStd","102-GC-AZ01","102-GC-AZ01","129","8.25551571227608","15.7626191903314","-67.1472202189153","0.625813696420464","1.18105084359818","14.1712759828407"
"CarbonateStd","NBS-19","NBS-19","23","14.2674802991247","27.2080834705104","-98.3877733047774","1.90338509409088","3.6260393955052","22.7378607090596"
"Water","Ian's Samples","OLK1","2","-3.48532197785479","-6.63648474741433","18.7419687799759","0.0154920577980286","0.0218716767402135","3.94381247919583"
