"reactor.ID","IPL.num","User","Type.1","Type.2","sample.ID","group.num","rep.num","Date.Time","Data.File","IPL.ID","Name.full","flag.major","flag.analysis","primes","comments","version","d17O","d.17O","d17O.err","d18O","d.18O","d18O.err","CAP.17O","CAP17O.err","d33","d33.err","d34","d34.err","d35","d35.err","d36","d36.err","33.mismatch.R2","34.mismatch.R2","d.18O.prelim"
,"***changed CoF3 reactor***",,,,"NA",1,,,,,"NA",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"NA",4,"reactor***",,"***changed","CoF3","***changed CoF3 reactor***",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"NA",0,"10/26/23***",,"***Septum","Changed","***Septum Changed 10/26/23***",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"NA",0,"10/26/23***",,"***Computer","updated","***Computer updated 10/26/23***",,,,,,,,,,,,,,,,,,,,,,,,
29,"5099","ksa","WaterStd","House DI","House DI",1,"1",2023-10-26 16:59:22,"Data_2939","IPL-17O-5099","Data_2939 IPL-17O-5099 HouseDI#3-R29-1",0,0,3,,2.5,-3.47842070337566,-3.48448484017033,0.00431643015750489,-6.5645189997963,-6.58616071501145,0.00502498918437833,-0.00699198264428033,0.0034967767155054,-13.6379498202273,0.00427242418836452,-26.3300196018782,0.00492501145190445,-13.4670221445036,0.122297447532265,515.878820250698,1.58722510102732,0.000188718261067141,0.000325229118865239,-6.48477554581862
29,"5100","ksa","WaterStd","House DI","House DI",1,"2",2023-10-27 10:57:32,"Data_2940","IPL-17O-5100","Data_2940 IPL-17O-5100 HouseDI#3-R29-2",0,0,0,,2.5,-3.64685479686124,-3.65352108882122,0.00394355255284834,-6.88390531723422,-6.90770903499352,0.00413777121605451,-0.00625071834464079,0.00414590570845292,-13.8046667295469,0.00390334806775047,-26.6430513743352,0.00405544566897479,-19.340629578425,0.177442089629351,717.026426123042,1.74130264761857,0.00102195575749421,0.000665794001696106,-6.81548552175431
29,"5101","ksa","WaterStd","House DI","House DI",1,"3",2023-10-27 13:53:53,"Data_2941","IPL-17O-5101","Data_2941 IPL-17O-5101 HouseDI#3-R29-3",0,0,0,,2.5,-3.6420402651276,-3.64868895101668,0.00397198264885272,-6.88010114418856,-6.9038782484111,0.00209444356034673,-0.00344123585562198,0.00419339534032637,-13.7999012819238,0.0039314883191655,-26.6393228895311,0.0020527722830017,-23.333945904245,0.144495330138638,599.330153605713,0.870398439892043,0.00311379936222406,0.00375697892421332,-6.81154583028524
29,"5102","ksa","WaterStd","SMOW","SMOW",1,"1",2023-10-30 11:15:41,"Data_2942","IPL-17O-5102","Data_2942 IPL-17O-5102 VSMOW2-B8-R29-1",0,0,3,,2.5,-0.179954204912239,-0.179970666201644,0.00370372389561135,-0.296744113836164,-0.296788526704533,0.00438757857645729,-0.0232663241016506,0.00331049424261101,-10.3731111599646,0.00366596446165536,-20.1869490481585,0.00430028283490839,-20.1081633286099,0.14392454406909,581.569141403852,1.2067703847082,0.0125016636961526,0.0138692332561223,-0.0168157571798589
29,"5103","ksa","WaterStd","SMOW","SMOW",1,"2",2023-10-30 13:12:04,"Data_2943","IPL-17O-5103","Data_2943 IPL-17O-5103 VSMOW2-B8-R29-2",0,0,0,,2.5,-0.188278234201936,-0.188296248815865,0.00384264310587463,-0.300644954304663,-0.3006901966354,0.00142419612179386,-0.0295318249923735,0.00390547132501397,-10.3813503258457,0.00380346739173853,-20.1907722770799,0.00139586016053509,-22.4927556867813,0.107001804376138,595.025833233249,0.595666978320637,0.0138854161301317,0.0169239847759172,-0.0208282035384685
29,"5104","ksa","WaterStd","SMOW","SMOW",1,"3",2023-10-30 15:02:36,"Data_2944","IPL-17O-5104","Data_2944 IPL-17O-5104 VSMOW2-B8-R29-3",0,0,0,,2.5,-0.160383712287021,-0.160397105568749,0.00521473244562939,-0.245429487761958,-0.245459645754642,0.00134411832123637,-0.0307944126102984,0.00513781166338018,-10.353740188347,0.00516156829221948,-20.1366553834774,0.00131737559662437,-23.5942252385177,0.124205096148857,699.275159596318,0.491595580474841,0.026694618549584,0.0220465699071363,0.0359655189117734
29,"5105","ksa","WaterStd","SMOW","SMOW",1,"4",2023-10-30 17:00:39,"Data_2945","IPL-17O-5105","Data_2945 IPL-17O-5105 VSMOW2-B8-R29-4",0,0,0,,2.5,-0.156202915191202,-0.156215390944225,0.00380249451389682,-0.259848408769991,-0.259882208311451,0.00131942859643092,-0.0189975849557785,0.00368345874199233,-10.3496020144424,0.00376372811431968,-20.1507874240615,0.00129317710127595,-24.2973600139255,0.10279896870047,627.406232823221,0.346700511716968,0.054927615937955,0.132040689072111,0.0211347646412406
29,"5107","ksa","WaterStd","SLAP","SLAP",1,"2",2023-10-31 13:24:03,"Data_2947","IPL-17O-5107","Data_2947 IPL-17O-5107 SLAP2-B9-R29-2",0,0,0,,2.5,-29.0348548687323,-29.4647075265066,0.00407275614072171,-54.2744062629242,-55.8028222636826,0.0031005278651344,-0.000817371282146784,0.00384242187339451,-38.9338363542832,0.00403123442613126,-73.090665748235,0.00303883942481242,-83.2999154698949,0.199356293858519,613.740306851937,0.472660408746639,0.0382897546703959,0.0443811526089021,-57.1395854416109
29,"5108","ksa","WaterStd","SLAP","SLAP",1,"3",2023-10-31 15:56:15,"Data_2948","IPL-17O-5108","Data_2948 IPL-17O-5108 SLAP2-B9-R29-3",0,0,0,,2.5,-29.0732606406826,-29.5042624968643,0.00385924609348449,-54.3600077876438,-55.8933404623002,0.00292403261746423,0.00742126723019965,0.00409558036051101,-38.9718505797116,0.0038199011120308,-73.1745641356893,0.00286585574582493,-86.3971212276662,0.16119300362888,502.887692364361,0.224509471438459,0.00200637499082471,0.0027531007268298,-57.2328163739635
29,"5109","ksa","WaterStd","SLAP","SLAP",1,"4",2023-10-31 17:50:59,"Data_2949","IPL-17O-5109","Data_2949 IPL-17O-5109 SLAP2-B9-R29-4",0,0,0,,2.5,-29.1276974182025,-29.5603308921182,0.00386263576053035,-54.4381370576983,-55.9759645740073,0.00407733402423225,-0.00502159704234533,0.00436968981631938,-39.0257323747427,0.00382325622145033,-73.2511389372717,0.00399621094210615,-88.521272637819,0.153937415490857,486.370026965085,0.15184497559371,0.0388962540802223,0.0354708572834274,-57.3179166596477
29,"5110","ksa","WaterStd","SLAP","SLAP",1,"5",2023-11-01 10:50:00,"Data_2950","IPL-17O-5110","Data_2950 IPL-17O-5110 SLAP2-B9-R29-5",0,0,0,,2.5,-29.0017402747442,-29.4306035490713,0.00541592013423813,-54.2167918347983,-55.7419040492708,0.0068128257076384,0.00112178894368711,0.00445602458257578,-38.9010593633022,0.00536070487403549,-73.0341976230503,0.00667727698484586,-86.7010859183127,0.265891443470508,642.671038892697,0.59492762803652,0.00766342457602968,0.0113385901447731,-57.0768409054693
29,"5111","ksa","Water","Mono Basin","NA",5,"1",2023-11-01 13:40:53,"Data_2951","IPL-17O-5111","Data_2951 IPL-17O-5111 MB_22_10_179_R29-1",0,0,0,,2.5,-7.00791090425834,-7.03258188636092,0.00353198276198494,-13.2320019905968,-13.3203249656932,0.00150572388091698,0.000549695525059746,0.00341061559735782,-17.1314568982068,0.0034959742274421,-32.864845624421,0.0014757658344757,-42.4875144210216,0.150928122001896,538.972948053005,0.207338152873601,0.0243540017345773,0.0262717788030138,-13.4114429208636
29,"5112","ksa","Water","Mono Basin","NA",5,"2",2023-11-02 10:37:00,"Data_2952","IPL-17O-5112","Data_2952 IPL-17O-5112 MB_22_10_179_R29-2",0,0,0,,2.5,-7.03562995028075,-7.06049708277014,0.00446375445503468,-13.3080944108778,-13.3974409355498,0.00368641335936586,0.0133517312001783,0.00464891324080718,-17.1588933487882,0.0044182465159222,-32.939424101615,0.00361306807739496,-42.1662823819016,0.147747463752301,687.565513899795,0.414923887287752,0.0871791506477782,0.178233104924494,-13.4907708313593
29,"5113","ksa","Water","Mono Basin","MB_22_10_191",1,"1",2023-11-02 12:49:21,"Data_2953","IPL-17O-5113","Data_2953 IPL-17O-5113 MB_22_10_191-R29-1",0,0,0,,2.5,-7.1792147978808,-7.20510959735609,0.0033900432550242,-13.5605981172488,-13.6533828370906,0.00148027466540315,0.00387654062774514,0.0033860134346143,-17.301014350075,0.00335548179256127,-33.1869039667243,0.001450822959329,-43.6199998155833,0.135762010293875,652.964051719449,0.266172081150946,0.0728006302893951,0.0765363942541408,-13.7540562277205
29,"5114","ksa","Water","Mono Basin","MB_22_10_191",1,"2",2023-11-02 15:29:13,"Data_2954","IPL-17O-5114","Data_2954 IPL-17O-5114 MB_22_10_191-R29-2",0,0,0,,2.5,-7.17451457081154,-7.20037572331208,0.00530681689185876,-13.5702519665678,-13.6631694629912,0.00174445252411307,0.0137777531472737,0.00521948383533676,-17.2963620417812,0.00525271393829447,-33.196365742005,0.00170974470656871,-44.673092125426,0.156817346082393,825.097222341812,0.209902091357129,0.0896648622577608,0.0949701794169539,-13.7641236639763
29,"5115","ksa","Water","Mono Basin","MB_22_10_182",1,"1",2023-11-03 15:57:24,"Data_2955","IPL-17O-5115","Data_2955 IPL-17O-5115 MB_22_10_182-R29-1",0,0,0,,2.5,-7.51434238801746,-7.54271765225005,0.0042540851457771,-14.1847629610901,-14.2863286273319,0.00398430803931074,0.000463862981189989,0.00410212123671845,-17.6327253172498,0.00421071478350688,-33.7986503588063,0.00390503581232095,-44.4412851540771,0.138826352003842,760.116191028824,0.536285319340262,0.00644648713144988,0.00532920338147962,-14.4051699821207
29,"5116","ksa","Water","Mono Basin","MB_22_10_182",1,"2",2023-11-03 18:08:09,"Data_2956","IPL-17O-5116","Data_2956 IPL-17O-5116 MB_22_10_182-R29-2",0,0,0,,2.5,-7.4693139343409,-7.49734921211581,0.00369733943152062,-14.0986650047896,-14.1989953555541,0.00145434807826276,-0.000279664383219833,0.00377224827748313,-17.5881559282796,0.00365964508712215,-33.714265416828,0.0014254122103917,-46.497043210513,0.154732729306719,623.935708808689,0.296983239069802,0.138966829340723,0.303410706470898,-14.3153294541387
29,"5117","ACF","Water","Mono Basin","MB_22_10_193",1,"1",2023-11-06 11:27:12,"Data_2957","IPL-17O-5117","Data_2957 IPL-17O-5117 MB_22_10_193-R29-1",0,0,0,,2.5,-7.76508505071009,-7.79539081538259,0.00506382336079798,-14.6689374688754,-14.7775907549779,0.00531365363534715,0.00717710324571965,0.00516925317169817,-17.8809116606058,0.00501219772423978,-34.2731916778157,0.00520793260349668,-46.4610544043199,0.144358983410608,677.572795689228,0.683315624644686,0.00386463805545042,0.0030087899661863,-14.9105413309021
29,"5118","ACF","Water","Mono Basin","MB_22_10_193",1,"2",2023-11-06 13:23:46,"Data_2958","IPL-17O-5118","Data_2958 IPL-17O-5118 MB_22_10_193-R29-2",0,0,0,,2.5,-7.70497827447197,-7.7348154306068,0.00477448372578607,-14.5494914437833,-14.6563733291039,0.00158269530458702,0.00374968716006632,0.00490406067295612,-17.8214176724458,0.00472580790437186,-34.156122163857,0.00155120582631289,-48.0774079932763,0.10888226736899,601.892766311416,0.189065325496037,0.0145404840714519,0.010903116559541,-14.7858423037964
29,"5119","ACF","Water","Mono Basin","MB_22_10_151",1,"1",2023-11-06 15:18:06,"Data_2959","IPL-17O-5119","Data_2959 IPL-17O-5119 MB_22_10_151-R29-1",0,0,0,,2.5,-7.71127360113458,-7.74115972790158,0.0051239578658743,-14.5813852357134,-14.6887385145037,0.0012296382996564,0.0144942077564047,0.00512380544233339,-17.827648818306,0.00507171915854059,-34.1873813934268,0.00120517328203155,-48.6579757542023,0.14025814092721,639.179067109682,0.162084436744214,0.0212012269932862,0.024694546896923,-14.8191372005085
