reactor.file.number,last.update,numSeg,prefer.auto,prefer.auto.seg1,prefer.auto.seg2,prefer.auto.seg3,prefer.auto.seg4,prefer.auto.seg5,prefer.user,prefer.user.seg1,prefer.user.seg2,prefer.user.seg3,prefer.user.seg4,prefer.user.seg5
1,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
2,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
3,20220927,2,3,2,2,-9999,-9999,-9999,3,2,2,-9999,-9999,-9999
4,20220927,2,3,2,2,-9999,-9999,-9999,3,2,2,-9999,-9999,-9999
5,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
6,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
7,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
8,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
9,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
10,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
11,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
12,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
13,20220927,2,3,2,2,-9999,-9999,-9999,3,2,2,-9999,-9999,-9999
14,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
15,20220927,2,3,2,2,-9999,-9999,-9999,3,1,2,-9999,-9999,-9999
16,20220927,3,3,2,2,2,-9999,-9999,3,2,1,2,-9999,-9999
17,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
18,20220927,2,3,2,2,-9999,-9999,-9999,3,2,2,-9999,-9999,-9999
19,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
20,20220927,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
21,20220927,2,3,2,2,-9999,-9999,-9999,3,1,1,-9999,-9999,-9999
22,20220927,2,3,2,2,-9999,-9999,-9999,3,2,1,-9999,-9999,-9999
23,20220929,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
24,20221206,2,3,2,2,-9999,-9999,-9999,3,2,1,-9999,-9999,-9999
25,20230628,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
26,20230630,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
27,20231012,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
28,20231102,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
29,20250506,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
30,20250506,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
31,20250506,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
